climat Bouchagroun,,,,,,,,,,,,,,
WD10M,1989,41.44,323,45.5,324.75,107.25,96.75,122.75,96.25,95.31,91.69,105.94,76.44,80.44
WD10M,1990,9.06,320.12,95.81,343.19,105.5,122.75,112.44,110.38,113.81,5.06,344.62,322.06,55.5
WD10M,1991,331.31,335.75,10.31,322,23.75,130.06,117,102.88,116.25,46.94,336.31,327.31,21.5
WD10M,1992,67.12,3.19,343.12,315.31,69.38,24.81,118.5,127.19,129.38,349.25,340.56,322,30.62
WD10M,1993,341.56,43.31,315.44,341.19,86,102.38,124.94,132.56,105,88.12,46.44,324.94,62.62
WD10M,1994,329.69,329.56,77.75,332.62,125,116.94,128.88,142.06,126.12,79.38,329.94,322.38,22.81
WD10M,1995,324.44,337.62,329.56,340.25,36.06,91.06,109.25,59.69,348.06,103.88,336.75,321.06,2.81
WD10M,1996,332.81,316.44,313.44,351.94,1.19,71.25,115.38,109.31,358.62,326.31,323.5,21,349.56
WD10M,1997,19.25,339.81,359.69,16.69,110.94,74.81,108.44,120.12,53.81,332,318.19,342.81,32.25
WD10M,1998,341.06,344.5,354.88,332,27.88,112.75,131.19,97.69,64.69,340.44,335.38,338.81,10.75
WD10M,1999,339.06,335.94,345.69,356,90.5,96.69,110.12,123.69,81.06,114.75,350.19,328.88,30.88
WD10M,2000,344.38,333.38,66.38,304.88,133.69,116.88,120.75,136.75,123.56,27,349.69,349,82.94
WD10M,2001,327.25,335.38,347.62,334.75,33,110.25,95,115.31,94.75,122,356.31,356.44,32.88
WD10M,2002,341,337.94,356.75,288.19,12,123.81,99.75,91.81,11.25,135.94,335.62,319.75,3.25
WD10M,2003,323.5,328.88,46.19,13.31,58.12,127.75,124.12,110.88,22.94,131.75,11.81,329,6.5
WD10M,2004,325.06,318.19,51.81,338,344.75,58.31,116.56,122.38,60.81,37.31,330.38,340.88,9.56
WD10M,2005,324.75,332.75,12.19,349.62,81.06,111.25,110.75,110.31,66.69,107.31,18.56,339.5,33.81
WD10M,2006,348.5,316.12,334.38,53.06,124.12,119.38,111.44,92.25,94.19,109.31,59.31,353.62,65.44
WD10M,2007,350.81,323.19,327.88,67.19,355.5,105.69,130.75,111.5,94.25,28.44,342.12,337.88,22.75
WD10M,2008,355.75,127,320.19,332.19,61.19,90.81,126.06,116.69,65.75,100.12,315.19,324.25,41.88
WD10M,2009,327.94,309.44,323.88,320.81,103.44,63.94,115.81,132.25,68.88,343.81,331.12,326.62,4.56
WD10M,2010,312.88,298.31,347.19,23.56,352,87.06,118.56,113.56,182.44,355.69,311.88,332.75,5.69
WD10M,2011,2.25,323.19,50.44,93.25,91.25,105.44,98.94,128,95.5,86.5,38.19,338.38,47.12
WD10M,2012,334.81,324.88,48.31,327.31,48.62,116.62,136.94,123.62,91.31,50.19,49.56,333.12,15.94
WD10M,2013,305.25,320.5,315,57.5,345.81,92.38,122.75,130.69,92.81,113.69,323.94,16.25,3.19
WD10M,2014,328,327.12,342.88,338.44,93.56,102.38,108.31,119.88,40.31,34.56,140.19,319.94,22.88
WD10M,2015,314.31,319.25,351.88,122.5,104.62,108.88,126.38,130.31,99.69,335.75,339.06,91,41.94
WD10M,2016,330.44,315.75,322.75,25.62,337.5,59.38,117.38,129.31,51.31,74.38,358.25,62.25,18.06
WD10M,2017,322.5,7.88,3.44,78.19,119,107.81,129.62,125.19,117.31,86.38,331.56,332.31,54.88
WD10M,2018,347.69,323.06,305.12,49,17.81,67.94,122.81,76.75,129.5,331.38,347.38,326.69,354.19
WD10M,2019,321.25,335.62,29,347.75,1.69,130,117.44,117.69,72.19,1.5,312.69,353.81,11.25
WD10M,2020,57.69,344.25,13.19,23.38,86.25,1.38,110.06,141.25,12.56,343.81,17.25,323.81,34.56
WD10M,2021,323.19,97.56,49.88,61,103.12,115.75,131.06,136.5,111.31,5.06,310.38,318.25,76.75
WD10M,2022,329.12,1.25,93.25,22,322.38,123.31,126.38,117.62,90.62,108.19,326.81,326.31,72.88
WD50M,1981,327,332.75,331.44,40.44,29.25,82.19,105.12,79.62,57.5,17.12,335.62,313.5,354.31
WD50M,1982,349.81,332.56,341.44,353.5,114.31,108.12,119,112.06,112.31,356.62,353.44,318.94,26.25
WD50M,1983,325.38,23.88,330.88,75,79,91.94,115.44,98.56,105.12,26,335.5,333.44,33.94
WD50M,1984,326.88,332.56,342.88,9.88,341.62,111.62,127.06,116.94,61.56,360,24.31,331.88,9.31
WD50M,1985,330.56,353.94,325.06,11,25.5,112.75,131.38,118.94,101.12,104.44,336.44,349.69,40.81
WD50M,1986,321.06,315.06,328.38,339.56,120.06,97.25,97.06,120.81,68.81,41.62,352.62,326.06,2.31
WD50M,1987,332.19,326.38,343.75,63.69,13.19,100.19,119.81,123.69,126.12,97.38,331,27.81,62.31
WD50M,1988,352,337.12,322.69,12.88,72.56,99.31,118.25,123.94,109.81,96.94,66.25,326.12,36.62
WD50M,1989,40.06,323.69,37.69,326.75,105.12,92.94,122.75,93.06,94.69,87.19,101.75,70.12,75.44
WD50M,1990,10.5,320.56,89.19,346.62,105,121.69,109.62,108.44,111.06,9.12,345.88,323.38,49.88
WD50M,1991,333.12,338.12,10.88,326.25,24.44,122.94,117.06,98.31,113.5,50.19,337.94,329,18.75
WD50M,1992,56.88,4.25,346.94,316.5,67.44,30.94,117.06,127.31,128.88,358.19,342.19,324.44,28.25
WD50M,1993,341.56,37.31,319.06,346,87.12,98.75,126.12,132.12,104.88,91.25,39.56,326.25,57.31
WD50M,1994,331.12,332.5,71.38,334.81,124.19,115.56,130.19,143.81,124.06,59.81,330.56,324.31,18.75
WD50M,1995,324.81,339.12,330,345.31,41.75,90.56,107.31,59.5,353.56,95.75,339.19,319.75,1.75
WD50M,1996,333.25,317.12,315.38,355.75,8,70.88,113.06,107.31,359.94,329.94,322.75,32.69,352.19
WD50M,1997,19,340.75,359.5,10.25,107.69,80.94,108.31,118.19,53.75,335.56,319.44,344.19,30.38
WD50M,1998,342.19,345,358.06,338.94,40.25,112.94,134.38,99.12,68.94,343.31,337.81,340.69,14.25
WD50M,1999,340.56,337.31,350.5,357.06,89.75,98.06,111.62,123.62,79.06,115.81,353.44,329.56,31.38
WD50M,2000,345.25,335.5,67.5,301.38,135.25,116.62,120.5,138.62,124.25,30.12,353.25,349.56,78.31
WD50M,2001,329.31,337.75,350.88,339.38,46.25,107.75,93.31,112.56,91.75,117.62,358,359.31,34.12
WD50M,2002,342.62,340.75,0.12,288.25,20.38,124.56,98.88,88.56,21.56,135.94,337.25,321.06,7.5
WD50M,2003,324.44,330.5,36.19,22.44,62.38,125.94,121.88,106.94,27.56,128.5,16.31,330.06,7.69
WD50M,2004,326.06,321,52.19,341.31,349.19,57.06,115.44,120.31,60.38,38.12,332.38,341.94,10.69
WD50M,2005,326.19,334.75,14.56,357.56,83.69,109.25,109.69,106.31,52.06,101.88,22.25,341.31,33.12
WD50M,2006,351.19,318.81,338.56,56.06,125.31,119.75,108.94,91.19,88,109.06,49.88,354.44,63
WD50M,2007,351.62,325.38,329.38,65.38,2.62,104.94,130.31,109.5,89.62,31.75,347,339.44,24.56
WD50M,2008,353.69,124.56,322.75,335.56,67.31,89.75,127.06,116.69,70.62,98.31,315,326,43.69
WD50M,2009,328.31,311.19,334.06,323.25,101.88,68.88,113.25,133,65.31,347.06,334.88,326.25,5.69
WD50M,2010,314.31,300.56,353.06,34.38,358.06,83.44,118.94,112.88,183.25,12.25,310.62,337.5,9.19
WD50M,2011,2.38,324.19,44.44,93.88,88.06,101.94,95.94,127.19,93.5,82.69,24.62,340.25,42.56
WD50M,2012,337.38,326.75,51.38,331.5,51.44,115.06,138.25,124.12,92.88,53.75,43.5,334.44,18.75
WD50M,2013,305.5,322,315.88,62.88,351.81,91.12,122.75,131.5,93.25,112.44,325,15.12,5.75
WD50M,2014,327.81,328.75,344.31,344.31,92,102.88,105.75,118.25,39.19,31.56,142.25,320.81,22.88
WD50M,2015,315.31,320,352.56,119.38,109.19,105,125.5,129.44,100.06,344,341.44,84.06,39.94
WD50M,2016,331.44,316.25,325,36.44,337.81,58.44,112.06,129.25,47.75,73.25,1.5,53.62,18.81
WD50M,2017,323.62,13.5,7,71.81,117.75,110.06,128.81,124.81,114.19,75.81,333.06,332.38,49.12
WD50M,2018,347.12,325.19,304.31,51.44,26.56,65.62,120.88,67.75,127.69,334.88,351.25,328.06,357.19
WD50M,2019,322.12,336.69,31.56,350.25,7.44,130.25,117.25,117.12,70.5,9.81,313,355.5,12.19
WD50M,2020,51.75,345,15.5,36,86.31,8.31,110.38,143.12,15.56,347.44,18.31,324.25,33.75
WD50M,2021,323.44,95.56,47.25,62.06,99.62,116.88,129.44,135.81,107.88,9.06,311.06,318.75,69.75
WD50M,2022,330.38,3.75,91.06,26.12,336.06,124.44,127.31,115.38,94.75,104.5,329.06,324.06,71.5
WS10M,1981,5.05,4.01,3.94,4.47,4.59,3.82,3.56,3.08,2.81,2.64,2.84,4.19,3.75
WS10M,1982,4.3,3.61,4.09,3.8,3.59,3.86,3.44,3.58,3.4,4.32,4.02,3.83,3.82
WS10M,1983,3.09,3.2,4.31,3.95,4.32,4.05,3.69,3.99,2.82,2.96,3.64,4.01,3.67
WS10M,1984,3.91,4.95,4.06,4.27,5.63,3.8,3.35,3.23,3.78,3.4,3.23,4.54,4.01
WS10M,1985,3.94,3.34,4.12,4.42,4.27,3.66,3.34,3.16,2.51,2.62,3.64,3.2,3.52
WS10M,1986,4.27,4.2,3.73,4.69,3.24,3.21,3.2,2.98,3.02,3.52,3.46,3.66,3.59
WS10M,1987,3.73,4.77,3.79,3.82,3.95,3.88,4.16,3.48,2.8,3.62,3.54,2.61,3.67
WS10M,1988,3.96,3.63,4.55,4.12,4.63,3.93,3.39,3.43,3.05,2.94,2.75,3.96,3.7
WS10M,1989,3.06,3.42,4.12,5.09,4.16,3.34,3.51,3.55,3.64,2.94,3.1,2.87,3.56
WS10M,1990,3.52,3.27,3.07,4.37,3.72,3.38,3.45,3.29,3.16,3.59,4.02,3.77,3.55
WS10M,1991,3.04,3.8,4.49,3.96,4.03,3.24,3.66,3.11,2.91,3.66,3.33,3.28,3.54
WS10M,1992,2.49,2.95,3.81,4.84,3.71,4.7,3.53,3.07,2.97,3.73,3.88,3.48,3.59
WS10M,1993,2.88,4.14,3.55,4.36,4.36,3.66,3.7,3.05,4.01,3.84,3.09,3.34,3.66
WS10M,1994,4.16,4.22,3.03,4.62,4.05,3.64,3.04,3.36,3.52,3.16,2.91,3.23,3.57
WS10M,1995,4.44,3.83,3.95,3.7,3.87,3.66,3.62,3.38,3.35,2.36,3.73,3.09,3.58
WS10M,1996,3.67,4.8,3.66,4.19,3.88,3.66,3.52,3.63,4.05,3.71,3.21,3.38,3.77
WS10M,1997,3.3,2.9,2.88,4.05,3.84,4.16,4.08,3.01,2.66,3.27,3.73,3.8,3.48
WS10M,1998,3.53,3.11,3.6,4.62,4.47,3.56,3.39,3.57,4.11,3.59,3.78,3.45,3.73
WS10M,1999,3.49,4.11,3.7,4.11,3.7,3.45,3.55,3.32,3.32,2.96,3.66,3.63,3.58
WS10M,2000,2.62,3.26,3.29,4.98,3.66,3.62,3.75,3.16,3.27,3.88,3.43,3.3,3.52
WS10M,2001,3.92,3.64,4.02,4.03,3.99,3.28,3.83,3.05,3.36,2.74,3.2,2.78,3.48
WS10M,2002,2.59,3.34,3.9,4.41,4.62,3.78,3.86,3.47,3.59,3.02,4.66,3.97,3.77
WS10M,2003,4.7,4,2.89,4.66,3.96,2.98,3.19,2.85,3.48,3.14,3.42,4.65,3.66
WS10M,2004,3.91,2.95,4.12,4.47,4.11,3.27,3.22,2.96,3.13,2.8,3.27,3.82,3.51
WS10M,2005,3.67,4.06,3.81,4.53,3.62,3.28,3.38,3.2,3.04,2.52,3.26,3.01,3.45
WS10M,2006,3.5,3.41,4.27,3.99,3.46,4.06,3.44,3.21,3.36,3.01,2.86,3.31,3.49
WS10M,2007,2.46,4.12,4.56,4.34,4.45,4.35,3.27,3.55,3.23,3.98,3.42,3.77,3.79
WS10M,2008,2.78,2.66,4.34,4.44,4.79,3.81,3.64,3.34,3.77,3.46,3.79,3.34,3.69
WS10M,2009,4.2,3.87,3.89,4.77,4.02,3.45,3.33,3.8,3.95,3.14,3.26,3.52,3.76
WS10M,2010,4.05,4.15,4.25,3.75,4.47,4.25,3.54,3.73,3.5,4.02,3.92,3.81,3.95
WS10M,2011,3.12,4.42,4.32,3.77,3.73,3.55,4.19,3.35,3.4,2.96,3.73,3.59,3.67
WS10M,2012,3.88,4.38,3.88,5.07,3.98,3.6,3.87,3.34,3.51,3.52,3.33,3.38,3.8
WS10M,2013,4.2,4.81,5.06,3.97,4.71,4.31,3.57,3.19,3.59,3.11,4.44,2.72,3.97
WS10M,2014,3.85,3.96,4.53,3.92,3.83,4.05,3.7,3.39,3.74,3.28,3.72,4.31,3.86
WS10M,2015,4.23,5.01,4.49,3.49,4.37,3.84,3.23,3.64,3.27,3.7,2.84,1.83,3.66
WS10M,2016,3.09,3.8,4.66,4.05,4.73,3.66,3.33,3.01,3.08,2.91,3.03,2.78,3.51
WS10M,2017,3.95,3.85,4.23,3.14,3.68,3.76,3.57,3.43,3.3,2.55,3.76,3.42,3.55
WS10M,2018,3.9,3.76,5.02,4.45,4.33,4.05,3.44,2.98,3.02,3.88,3.74,2.88,3.79
WS10M,2019,4.76,3.78,3.17,4.26,4.22,4.38,4.11,3.39,3.17,3.38,4.08,4.01,3.89
WS10M,2020,2.83,2.73,4.88,3.84,3.88,4.13,3.45,3.48,3.26,3.34,3.23,3.73,3.57
WS10M,2021,3.76,3.7,3.62,4.41,3.92,4.66,3.83,3.74,3.79,3.04,3.48,3.36,3.77
WS10M,2022,3.32,3.38,4.45,4.65,4.36,4.02,3.48,3.46,3.43,2.66,4.12,2.88,3.68
WS50M,1981,7.41,5.85,5.65,6.24,6.25,5.2,4.97,4.28,3.91,3.73,4.12,6.32,5.33
WS50M,1982,6.34,5.2,5.86,5.38,5.05,5.32,4.9,5.01,4.75,6.11,5.9,5.76,5.47
WS50M,1983,4.52,4.77,6.05,5.67,5.89,5.53,5.11,5.6,3.95,4.22,5.48,5.98,5.24
WS50M,1984,5.73,7.11,5.94,5.91,7.5,5.23,4.64,4.54,5.23,4.73,4.87,6.34,5.64
WS50M,1985,5.79,5,5.95,6.19,5.95,5.06,4.6,4.3,3.48,3.8,5.38,4.82,5.03
WS50M,1986,6.47,6.43,5.33,6.43,4.5,4.38,4.36,4.19,4.15,5.02,5.1,5.41,5.14
WS50M,1987,5.54,7.02,5.44,5.34,5.43,5.23,5.73,4.77,3.9,5.24,5.1,3.98,5.22
WS50M,1988,6.02,5.27,6.46,5.8,6.3,5.37,4.6,4.71,4.19,4.2,4.16,5.8,5.24
WS50M,1989,4.48,4.95,5.8,6.95,5.68,4.7,4.74,4.88,5.11,4.16,4.64,4.41,5.04
WS50M,1990,5.41,4.77,4.47,6.16,5.12,4.74,4.73,4.59,4.52,5.14,5.85,5.62,5.09
WS50M,1991,4.46,5.64,6.61,5.59,5.59,4.63,5.04,4.29,4.19,5.16,4.87,4.86,5.08
WS50M,1992,3.7,4.32,5.53,6.81,5.21,6.32,4.78,4.2,4.16,5.38,5.57,5.12,5.09
WS50M,1993,4.24,5.97,5.22,6.02,6.2,5.03,5.11,4.28,5.57,5.5,4.64,4.98,5.22
WS50M,1994,6.27,6.16,4.49,6.43,5.65,5.05,4.26,4.76,5.02,4.62,4.26,4.87,5.14
WS50M,1995,6.45,5.7,5.67,5.19,5.27,5.07,5.01,4.73,4.64,3.39,5.55,4.61,5.1
WS50M,1996,5.51,6.88,5.41,5.92,5.4,4.99,4.84,5.16,5.59,5.29,4.8,5.17,5.41
WS50M,1997,5.08,4.28,4.23,5.64,5.39,5.76,5.64,4.22,3.79,4.62,5.5,5.7,4.99
WS50M,1998,5.2,4.57,5.12,6.48,6.1,5.02,4.72,4.92,5.8,5.05,5.41,5.15,5.3
WS50M,1999,5.17,6.12,5.38,5.86,5.16,4.83,4.89,4.83,4.67,4.31,5.37,5.34,5.16
WS50M,2000,3.91,4.77,4.82,7.09,5.06,4.98,5.13,4.42,4.59,5.44,5.04,4.99,5.02
WS50M,2001,5.82,5.3,5.89,5.69,5.54,4.62,5.41,4.43,4.77,4.05,4.83,4.08,5.03
WS50M,2002,3.73,4.87,5.66,6.22,6.27,5.19,5.32,4.88,5.16,4.39,6.73,5.88,5.36
WS50M,2003,6.76,5.87,4.18,6.47,5.45,4.09,4.44,4.03,4.82,4.47,5.18,6.73,5.2
WS50M,2004,5.7,4.35,5.95,6.2,5.63,4.6,4.41,4.12,4.35,4.04,4.68,5.71,4.98
WS50M,2005,5.36,5.97,5.59,6.43,5.05,4.55,4.74,4.56,4.28,3.59,4.77,4.41,4.93
WS50M,2006,5.25,5.01,6.13,5.71,4.82,5.77,4.78,4.52,4.7,4.41,4.22,4.88,5.02
WS50M,2007,3.68,6.08,6.3,6.18,6.11,6.12,4.58,4.97,4.67,5.76,5.03,5.52,5.41
WS50M,2008,4.15,3.88,6.05,6.2,6.49,5.17,5.09,4.65,5.24,4.91,5.56,4.91,5.2
WS50M,2009,6.27,5.9,5.63,6.72,5.64,4.82,4.64,5.38,5.41,4.51,4.79,5.34,5.41
WS50M,2010,6.23,6.27,6.21,5.41,6.13,5.88,4.98,5.17,4.88,5.63,5.83,5.65,5.69
WS50M,2011,4.67,6.35,6.2,5.24,5.23,4.95,5.7,4.71,4.87,4.27,5.47,5.44,5.25
WS50M,2012,5.73,6.2,5.65,7.06,5.52,4.95,5.38,4.87,5.05,5.07,4.89,5.09,5.45
WS50M,2013,6.3,6.88,7.2,5.51,6.38,5.95,4.91,4.58,5.16,4.62,6.44,3.99,5.65
WS50M,2014,5.83,5.91,6.41,5.53,5.38,5.48,5.16,4.83,5.3,4.76,5.48,6.23,5.52
WS50M,2015,6.08,7.12,6.4,4.91,5.95,5.23,4.52,5.05,4.59,5.28,4.12,2.59,5.14
WS50M,2016,4.58,5.75,6.7,5.71,6.42,5,4.63,4.2,4.38,4.22,4.35,4.09,5
WS50M,2017,5.84,5.65,6.02,4.38,5.04,5.04,4.99,4.76,4.48,3.68,5.31,5.16,5.02
WS50M,2018,5.88,5.48,7.17,6.11,5.84,5.55,4.91,4.09,4.23,5.41,5.41,4.25,5.36
WS50M,2019,6.99,5.42,4.61,6.06,5.7,6.14,5.68,4.7,4.53,4.7,5.87,5.96,5.53
WS50M,2020,4.14,4.02,6.87,5.34,5.33,5.59,4.71,4.9,4.54,4.8,4.66,5.62,5.05
WS50M,2021,5.77,5.56,5.18,6.2,5.44,6.32,5.3,5.34,5.35,4.37,4.98,5.08,5.41
WS50M,2022,4.79,4.91,6.3,6.47,6.01,5.69,4.8,4.76,4.82,3.86,5.99,4.34,5.23
T2MWET,1981,4.64,6.64,12.25,13.12,15.28,20.77,20.98,20.37,20.02,15.54,10.14,8.3,14.05
T2MWET,1982,7.1,8.42,8.92,12.4,16.51,20.65,21.03,21.23,20.14,15.05,11.15,6.35,14.1
T2MWET,1983,5.01,6.22,9.37,12.76,15.54,19.2,20.39,21.46,19.01,15.47,12.4,6.66,13.66
T2MWET,1984,6.51,6.1,8.43,12.44,13.39,17.87,19.14,20.87,18.44,14.76,10.93,7.56,13.05
T2MWET,1985,4.8,9.01,8.56,12.33,15.53,19.9,20.4,20.26,18.84,15.43,11.55,7.55,13.69
T2MWET,1986,5.97,7.07,9.27,10.94,17.05,19.34,20.39,20.94,19.65,16.97,10.62,7.29,13.83
T2MWET,1987,4.58,7.33,9.57,12.36,15.48,19.82,21.64,21.76,19.62,15.62,10.12,8.94,13.94
T2MWET,1988,7.06,7.18,8.83,12.76,16.43,20.55,22,21.87,18.42,16.15,11.81,7.19,14.21
T2MWET,1989,6.08,6.81,9.72,11.63,14.98,19.2,21.21,22.81,20.36,16.73,11.27,9.46,14.23
T2MWET,1990,7.85,9.01,10.87,12.99,17.28,20.94,21.76,22.77,21.23,16.33,11.82,6.06,14.94
T2MWET,1991,6.26,6.1,10.46,11.33,13.48,19.87,21.61,21.9,21.07,16.08,9.58,6.62,13.74
T2MWET,1992,5.79,7.11,9.9,11.56,16.02,17.59,21.49,21.39,19.73,14.23,11.51,7.59,13.68
T2MWET,1993,5.27,7.1,8.61,11.65,15.55,21.05,21.01,20.91,18.52,14.48,11.4,7.58,13.62
T2MWET,1994,7.37,6.32,10.35,10.31,15.68,19.1,20.75,21.48,20.37,17.26,12.76,8.12,14.2
T2MWET,1995,6.35,9.47,9.05,10.44,15.23,19.51,21.87,21.71,19.34,16.12,10.38,9.4,14.1
T2MWET,1996,8.32,6.9,10.09,12.58,16.17,19.74,21.17,22.19,18.75,13.28,10.01,7.56,13.92
T2MWET,1997,7.3,8.05,8.49,11.95,16.13,19.9,21.26,22.15,20.62,16.76,11.48,7.73,14.35
T2MWET,1998,6.96,8.36,8.82,12.59,16.12,19.37,20.55,22.41,20.79,14.19,9.96,5.83,13.85
T2MWET,1999,6.58,5.97,9.7,12.22,17.88,21.15,21.75,22.73,21.15,16.57,10.24,7.04,14.47
T2MWET,2000,4.37,6.8,9.45,11.9,18.59,19.55,20.82,20.16,19,14.7,10.4,7.49,13.62
T2MWET,2001,5.89,5.51,10.87,11.3,15.79,18.56,20.77,22.26,21.41,18.05,11.08,6.25,14.03
T2MWET,2002,5.38,6.87,9.19,11.26,14.99,18.36,21.62,22.07,19.15,14.73,10.73,8.3,13.59
T2MWET,2003,6.75,5.9,9.42,13.1,16.4,20.55,22.05,21.73,20.32,17.67,11.19,6.79,14.37
T2MWET,2004,7.23,8.03,10.33,12.62,15.22,19.97,21.33,23.22,19.13,15.75,10.51,7.67,14.27
T2MWET,2005,4.44,4.87,9.96,12.71,16.71,20.77,22.33,21.62,20.17,17.45,10.57,6.5,14.06
T2MWET,2006,4.8,6.74,10.19,14.12,18.76,18.05,22.29,22.05,18.88,15.93,11.44,8.62,14.37
T2MWET,2007,7.42,8.65,8.97,13.48,16.3,19.48,20.58,22.01,20.93,16.12,9.05,6.96,14.19
T2MWET,2008,6.37,7.07,9.18,11.55,16.37,19.13,21.73,22.51,19.59,17.01,9.52,6.72,13.92
T2MWET,2009,7.62,6.4,9.28,11.22,15.9,20.05,22.97,22.3,20.44,15.24,9.82,8.27,14.18
T2MWET,2010,7.23,8.42,9.79,14.42,14.9,20.05,22.2,22.71,20.07,14.36,10.65,6.3,14.28
T2MWET,2011,6.62,6.63,9.57,13.98,16.75,20.01,22.86,22.02,20.7,16.02,11.67,8.06,14.62
T2MWET,2012,6.26,4.09,8.98,12.62,16.36,21.32,22.05,21.89,18.87,16.25,12.62,7.13,14.07
T2MWET,2013,6.82,5.45,10.65,12.65,16.12,18.2,22.23,21.05,20.33,17.32,10.33,7.46,14.11
T2MWET,2014,6.62,7.63,9.3,12.84,16.03,19.19,21.25,22.35,21.01,15.61,11.44,7.47,14.26
T2MWET,2015,6.13,5.96,9.06,12.53,15.74,19.44,21.04,23.54,20.32,16.83,11.56,7.33,14.17
T2MWET,2016,6.86,7.43,7.91,13.6,15.77,19.68,21.34,21.49,20.32,17.51,11.06,9.26,14.37
T2MWET,2017,5.03,7.87,9.3,13.01,18.32,20.7,21.24,21.88,19.3,15.45,9.02,6.47,14
T2MWET,2018,6.97,6.08,9.73,12.93,16.81,19.42,22.37,22.9,20.97,15.34,10.33,8.02,14.37
T2MWET,2019,6,5.75,8.51,12.67,15.41,19.9,22.23,23.43,21.65,16.51,9.96,8.78,14.29
T2MWET,2020,6.39,8.12,10.62,14.71,17.19,20.06,22.31,22.26,21.05,13.83,12.24,7.89,14.73
T2MWET,2021,6.76,7.86,8.63,12.9,18.12,21.22,22.04,22.43,21.33,15.6,10.75,7.54,14.63
T2MWET,2022,5.12,7.35,9.77,12.25,16.18,20.19,22.68,23.15,21.41,16.54,11.18,10.21,14.71
T2M_MAX,1981,21.29,21.65,34.07,33.05,38.64,43.87,45.33,44.12,38.58,35.01,25.89,24.07,45.33
T2M_MAX,1982,22.91,23.4,29.33,32.4,35.45,45.87,45.94,44.74,39.17,34.49,25.06,19.87,45.94
T2M_MAX,1983,22.48,23.74,29.36,34.24,37.56,43.65,44.58,45.08,41.3,33.55,26.33,23.26,45.08
T2M_MAX,1984,22.35,22.93,28.34,36.83,37.1,43.85,44.17,42.38,39.18,37.15,25.36,20.95,44.17
T2M_MAX,1985,19.13,26.73,25.98,36.47,37.49,44.65,45.36,45.33,39.63,33.69,29.37,19.52,45.36
T2M_MAX,1986,20.83,26.12,25.8,29.62,40.83,42.48,43.58,44.23,40.41,33.34,26.15,19.71,44.23
T2M_MAX,1987,19.54,26.14,27.87,36.55,37.18,45.48,45.32,47,41.76,34.22,28.87,23.51,47
T2M_MAX,1988,23.52,22.96,32.11,33.51,40.3,41.17,46.81,44.94,41.65,33.26,28.86,21.57,46.81
T2M_MAX,1989,18.93,24.96,28.69,31.44,38.91,40.98,43.41,45.91,40.48,31.7,27.48,23.25,45.91
T2M_MAX,1990,20.06,28.73,28.55,30.93,38.4,41.4,43.45,41.07,42,34.9,29.41,19.44,43.45
T2M_MAX,1991,19.37,21.39,27.98,30.43,33.43,42.17,47.08,44.02,38.88,32.78,26.08,23.14,47.08
T2M_MAX,1992,17.1,23.27,27.79,33.28,38.31,41.09,43.13,42.69,39.19,33.46,26.39,23.3,43.13
T2M_MAX,1993,18.25,20.86,26.8,31.29,40.32,45.93,46.9,45.29,39.64,35.94,27.38,20.26,46.9
T2M_MAX,1994,21.53,26.38,28.82,32.26,44.08,44.63,46.06,45.61,42.42,32.07,26.27,22.71,46.06
T2M_MAX,1995,22.99,26.65,27.82,29.96,39.1,44.65,43.13,45.4,40.58,32.28,29.48,24.61,45.4
T2M_MAX,1996,24.77,21.17,30.33,31.9,36.83,39.51,47.3,45.05,38.08,33.58,24.54,21.4,47.3
T2M_MAX,1997,20.71,25.37,27.77,30.51,39.14,46.35,47.33,44.35,39.73,33.08,26.94,20.3,47.33
T2M_MAX,1998,20.57,23.98,29.22,32.22,35.45,44.95,46.25,45.61,43.89,33.62,27.61,21.63,46.25
T2M_MAX,1999,20.64,22.42,26.95,36.19,40.6,43.68,45.96,47.04,41.99,35.45,28.6,20.57,47.04
T2M_MAX,2000,18.82,23.04,28.2,35.96,37.72,44.87,45.73,45.5,44.83,32.81,26.41,21.08,45.73
T2M_MAX,2001,22.63,22.04,34.75,34.48,41.37,42.81,47.69,46.39,40.66,39.01,29.58,22.87,47.69
T2M_MAX,2002,21.62,25.6,31.13,35.74,40.45,46.62,45.97,45.19,39.8,35.22,26.88,21.99,46.62
T2M_MAX,2003,22.58,22.04,25.32,37.76,36.98,45.8,48.01,45.09,42.65,38.2,25.3,21.93,48.01
T2M_MAX,2004,22.07,23.98,26.76,30.6,35.14,41.07,42.88,44.61,39.72,36.21,25.93,20.23,44.61
T2M_MAX,2005,21.55,21.87,32.05,34.47,39.83,42.56,45.9,46.15,39.62,33.7,29.15,19.9,46.15
T2M_MAX,2006,17.98,20.08,29.66,35.01,42.1,45.58,45.03,44.31,38.73,39.01,31.55,21.05,45.58
T2M_MAX,2007,22.06,24.99,29.43,30.05,39.97,46.33,44.9,47.18,39.34,36.53,24.34,21.81,47.18
T2M_MAX,2008,21.28,24.96,31.66,38.43,40.08,44.75,48.08,44.96,42.28,31.36,25.22,20.78,48.08
T2M_MAX,2009,20.98,21.48,26.98,31.99,38.43,40.94,45.95,47.22,44.05,32.97,28.66,24.91,47.22
T2M_MAX,2010,21.68,32.55,31.5,33.67,35.47,46.15,47.27,44.52,40.87,37.58,28.45,24.16,47.27
T2M_MAX,2011,20.63,22.36,29.43,35.19,37.68,43.27,46.42,48.08,41.59,31.75,26.67,21.05,48.08
